,Ticker,1 Year % Return
1,NVDA,325.86952549186816
2,AMD,293.915857605178
3,REGN,217.4277497194164
4,AMZN,192.80829571358336
5,PYPL,191.23185011709597
6,NFLX,183.05506585087625
7,NOW,183.0131369124459
8,ADBE,181.7631439192777
9,CRM,178.51764551823481
10,MSFT,165.7821229050279
11,ATVI,163.572267920094
12,FB,160.75442732605958
13,QCOM,158.54632587859422
14,VRTX,156.19473978735314
15,TMO,151.29968610023633
16,TMUS,151.27706469596788
17,CHTR,149.48884194167215
18,LOW,148.12915992084905
19,ISRG,147.9612908450419
20,DHR,147.6156430971616
21,ABBV,146.4373088685015
22,BLK,142.89596460006734
23,TGT,141.7018086402399
24,SPGI,141.65539103877526
25,GOOG,139.86596941089874
26,EQIX,139.5592938806524
27,UPS,139.45282536435695
28,GOOGL,139.3296567055705
29,DE,139.27861026389076
30,UNH,135.5259734628393
31,LIN,133.38674357741814
32,NKE,132.14834061651115
33,ABT,130.22840827980014
34,LLY,130.21235521235522
35,APD,129.57084589466214
36,BMY,129.47543713572028
37,MA,127.87476348577343
38,MS,127.4945108563064
39,HD,127.21024679787568
40,AVGO,126.67396460499909
41,ZTS,126.02329974811082
42,NEE,123.7675119702075
43,AMGN,123.25807707279095
44,ACN,122.56960408684549
45,CAT,121.60129881227036
46,INTU,121.53061224489795
47,WMT,121.11828332170273
48,UNP,120.78076947216469
49,PLD,120.44460210476528
50,JNJ,119.1626534099736
51,COST,119.0412600582092
52,V,118.29799107142858
53,TXN,116.76523739116148
54,CI,114.43964126717852
55,PG,113.98319050758076
56,CCI,110.61796991462255
57,FIS,110.456176319836
58,ORCL,110.27172865677393
59,PM,109.81282686485001
60,ANTM,109.07400232468036
61,INTC,108.45040442741592
62,CL,106.66128381106176
63,GILD,106.00285850404957
64,MDLZ,104.99640546369517
65,AMT,104.75529767911199
66,PFE,104.62347729789593
67,GS,102.96527114640399
68,MMM,102.76096822995459
69,CVS,102.35623661229198
70,CMCSA,102.11941659070192
71,VZ,102.11922811853896
72,PEP,101.89145933362431
73,LMT,101.44791910369386
74,HON,101.23524735522535
75,TJX,100.95817210245069
76,MDT,100.0
77,D,99.5431472081218
78,MO,99.3188010899183
79,MRK,98.4073860357761
80,BKNG,98.38653194491651
81,MCD,98.33740155667113
82,BDX,97.8792887957102
83,DIS,96.74271880272907
84,BAC,95.15711645101663
85,JPM,92.28997789240972
86,IBM,91.9537658463833
87,CSCO,90.79569892473118
88,KO,89.56600361663655
89,SBUX,87.28944920946573
90,AXP,86.3860544217687
91,T,84.25664217071791
92,CME,80.76322556943425
93,C,80.60548722800378
94,CVX,72.18543046357617
95,AAPL,62.73213417598444
96,XOM,58.25554259043173
97,WFC,52.39748318507268
98,BA,48.47920546244568
99,RTX,47.29782119872839
